year,base,impact,exploitability,type
2021,9.8,5.9,3.9,FW
2021,6.5,3.6,2.8,FW
2021,9.8,5.9,3.9,FW
2021,9.8,5.9,3.9,FW
2021,9.8,5.9,3.9,FW
2021,9.8,5.9,3.9,FW
2021,5.5,3.6,1.8,FW
2021,8.8,5.9,2.8,FW
2021,7.8,5.9,1.8,FW
2021,7.5,5.9,1.6,FW
2021,7.2,5.9,1.2,FW
2021,8,5.9,2.1,FW
2021,9.4,5.5,3.9,FW
2021,6.5,3.6,2.8,FW
2021,4.3,1.4,2.8,FW
2021,6.7,5.9,0.8,FW
2021,7.8,5.9,1.8,FW
2020,7.5,3.6,3.9,FW
2020,9.8,5.9,3.9,FW
2020,5.3,1.4,3.9,FW
2020,9.8,5.9,3.9,FW
2020,6.1,2.7,2.8,FW
2020,8.8,5.9,2.8,FW
2020,8.4,6,1.7,FW
2020,7.8,5.9,1.8,FW
2020,9.8,5.9,3.9,FW
2020,6,5.2,0.8,FW
2020,4.4,3.6,0.8,FW
2020,7.3,5.2,2.1,FW
2020,8.1,5.2,2.8,FW
2020,6.5,3.6,2.8,FW
2020,5.5,3.6,1.8,FW
2020,9.8,5.9,3.9,FW
2020,8.8,5.9,2.8,FW
2020,9.8,5.9,3.9,FW
2020,9.8,5.9,3.9,FW
2020,8.1,5.9,2.2,FW
2020,5.5,3.6,1.8,FW
2020,7.1,4.2,2.8,FW
2020,7.8,5.9,1.8,FW
2020,6.8,5.9,0.9,FW
2020,9.8,5.9,3.9,FW
2020,6.2,3.6,2.5,FW
2020,5.9,3.6,2.2,FW
2020,7.5,3.6,3.9,FW
2020,7.5,3.6,3.9,FW
2020,5.7,3.6,2.1,FW
2020,6.5,3.6,2.8,FW
2020,8.8,5.9,2.8,FW
2020,8.8,5.9,2.8,FW
2020,7.5,3.6,3.9,FW
2020,4.8,2.5,2.2,FW
2019,7.5,3.6,3.9,FW
2019,7.5,3.6,3.9,FW
2019,9.8,5.9,3.9,FW
2019,7.5,3.6,3.9,FW
2019,9.8,5.9,3.9,FW
2019,7.5,3.6,3.9,FW
2019,9.8,5.9,3.9,FW
2019,7.8,5.9,1.8,FW
2019,6.5,3.6,2.8,FW
2019,7.5,3.6,3.9,FW
2019,6.8,5.9,0.9,FW
2019,6.5,3.6,2.8,FW
2019,4.8,2.7,1.7,FW
2019,9.1,6,2.3,FW
2019,7.8,5.9,1.8,FW
2019,7.8,5.9,1.8,FW
2019,7.2,5.9,1.2,FW
2019,7.2,5.9,1.2,FW
2019,7.2,5.9,1.2,FW
2019,9.8,5.9,3.9,FW
2019,9.1,5.2,3.9,FW
2019,7.7,4,3.1,FW
2019,7.5,5.9,1.6,FW
2019,8.1,5.9,2.2,FW
2019,7.5,3.6,3.9,FW
2019,7.2,5.9,1.2,FW
2019,6.7,5.9,0.8,FW
2019,6.1,2.7,2.8,FW
2019,9.8,5.9,3.9,FW
2019,9.8,5.9,3.9,FW
2019,7.2,5.9,1.2,FW
2019,7.8,5.9,1.8,FW
2019,9.8,5.9,3.9,FW
2019,8.8,5.9,2.8,FW
2019,9.8,5.9,3.9,FW
2019,9.8,5.9,3.9,FW
2019,5.5,3.6,1.8,FW
2019,7.8,5.9,1.8,FW
2019,10,6,3.9,FW
2019,9.9,6,3.1,FW
2019,6.3,5.2,1,FW
2018,7.8,5.9,1.8,FW
2018,7.8,5.9,1.8,FW
2018,6.5,3.6,2.8,FW
2018,9.8,5.9,3.9,FW
2018,8.1,5.9,2.2,FW
2018,6.6,5.9,0.7,FW
2018,5.5,3.6,1.8,FW
2018,8.8,5.9,2.8,FW
2018,9.8,5.9,3.9,FW
2018,7.3,3.4,3.9,FW
2018,7.8,5.9,1.8,FW
2018,8.8,5.9,2.8,FW
2018,7.5,3.6,3.9,FW
2018,9.8,5.9,3.9,FW
2018,7.8,5.9,1.8,FW
2018,9.8,5.9,3.9,FW
2018,7.5,3.6,3.9,FW
2018,5.5,3.6,1.8,FW
2018,6.8,5.9,0.9,FW
2018,9.9,6,3.1,FW
2018,4.6,3.6,0.9,FW
2018,6.8,5.9,0.9,FW
2018,9,6,2.3,FW
2018,7.5,3.6,3.9,FW
2018,9.1,5.2,3.9,FW
2018,7.5,3.6,3.9,FW
2018,6.4,5.9,0.5,FW
2018,9.8,5.9,3.9,FW
2018,7.5,5.9,1.6,FW
2018,8.8,5.9,2.8,FW
2018,8.1,5.9,2.2,FW
2018,7.5,3.6,3.9,FW
2018,4.4,3.6,0.8,FW
2018,8.8,5.9,2.8,FW
2018,7.8,5.9,1.8,FW
2018,7.5,3.6,3.9,FW
2017,9.8,5.9,3.9,FW
2017,9.8,5.9,3.9,FW
2017,7.5,3.6,3.9,FW
2017,5.4,2.7,2.3,FW
2017,9.8,5.9,3.9,FW
2017,7.5,5.9,1.6,FW
2017,7.5,3.6,3.9,FW
2017,8.1,5.9,2.2,FW
2017,8.1,5.9,2.2,FW
2017,8.8,5.9,2.8,FW
2017,7.5,5.9,1.6,FW
2017,7.8,5.9,1.8,FW
2017,6.5,3.6,2.8,FW
2017,9.9,6,3.1,FW
2017,9.9,6,3.1,FW
2017,9.9,6,3.1,FW
2017,6.5,3.6,2.8,FW
2017,6.5,3.6,2.8,FW
2017,8.8,5.9,2.8,FW
2017,7,5.9,1,FW
2016,9.8,5.9,3.9,FW
2016,9.8,5.9,3.9,FW
2016,7.3,3.4,3.9,FW
2016,5.9,3.6,2.2,FW







